,Season,Competition,LeagueRank,Games,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalDiff,Points,AttendancePerG,TopTeamScorers,TopKeeper
0,2022-2023,Premier League,1st,0,0,0,0,0,0,0,0,,,
1,2021-2022,Premier League,5th,38,22,3,13,61,48,+13,69,"59,665",Bukayo Saka - 11,Aaron Ramsdale
2,2020-2021,Premier League,8th,38,18,7,13,55,39,+16,61,632,Alexandre Lacazette - 13,Bernd Leno
3,2019-2020,Premier League,8th,38,14,14,10,56,48,+8,56,"47,589",Pierre-Emerick Aubameyang - 22,Bernd Leno
4,2018-2019,Premier League,5th,38,21,7,10,73,51,+22,70,"59,899",Pierre-Emerick Aubameyang - 22,Bernd Leno
5,2017-2018,Premier League,6th,38,19,6,13,74,51,+23,63,"59,323",Alexandre Lacazette - 14,Petr Čech
6,2016-2017,Premier League,5th,38,23,6,9,77,44,+33,75,"59,957",Alexis Sánchez - 24,Petr Čech
7,2015-2016,Premier League,2nd,38,20,11,7,65,36,+29,71,"59,944",Olivier Giroud - 16,Petr Čech
8,2014-2015,Premier League,3rd,38,22,9,7,71,36,+35,75,"59,992",Alexis Sánchez - 16,David Ospina
9,2013-2014,Premier League,4th,38,24,7,7,68,41,+27,79,"60,013",Olivier Giroud - 16,Wojciech Szczęsny
10,2012-2013,Premier League,4th,38,21,10,7,72,37,+35,73,"60,079",Theo Walcott - 14,Wojciech Szczęsny
11,2011-2012,Premier League,3rd,38,21,7,10,74,49,+25,70,"60,000",Robin van Persie - 30,Wojciech Szczęsny
12,2010-2011,Premier League,4th,38,19,11,8,72,43,+29,68,"60,025",Robin van Persie - 18,Wojciech Szczęsny
13,2009-2010,Premier League,3rd,38,23,6,9,83,41,+42,75,"59,927",Cesc Fàbregas - 15,Manuel Almunia
14,2008-2009,Premier League,4th,38,20,12,6,68,37,+31,72,"60,040",Robin van Persie - 11,Manuel Almunia
15,2007-2008,Premier League,3rd,38,24,11,3,74,31,+43,83,"60,070",Emmanuel Adebayor - 24,Manuel Almunia
16,2006-2007,Premier League,4th,38,19,11,8,63,35,+28,68,"60,140",Robin van Persie - 11,Jens Lehmann
